"Cum il cheama pe Aquaman in viata reala?","Bruce Wayne","Arthur Curry","Red Robin",B
"În ce an s-a scufundat Titanicul?",1915,1904,1912,C
"Ce metal a fost descoperit de Hans Christian Oersted în 1825?",aluminiu,plumb,zinc,A
"Ce culoare au ochii lui Aquaman?",albastri,verzi,negri,A
"Câte respirații are corpul uman zilnic?",15000,18000,20000,C
"Care este durata de viață a unei libelule?","o saptamana","1 zi","10 zile",B
"Ce culoare are parul lui Aquaman?",alb,bleumarin,blond,C
" În ce an a fost lansat pentru prima dată The Godfather?",1961,1972,1993,B
"Care este cel mai înalt munte de pe Glob?",Himalaya,Omu,Everest,C
"In ce an a aparut caracterul Aquaman?",1941,1939,1945,A
"Ce culoare au ochii lui Batman?",negri,albastri,verzi,B
"In ce an a avut loc Nașterea lui Buddha?","486 î.Hr"," 385 î.Hr","289 î.Hr",A
"Ce culoare are parul lui Batman?",saten,bleumarin,negru,C
"Dacă Pământul ar fi făcut într-o gaură neagră, care ar fi diametrul orizontului său de eveniment?",15mm,20mm,35mm,B
"În 1930, Albert Einstein și un coleg au primit un brevet american 1781541. Pentru ce a fost?",aragaz,cuptor,frigider,C
"Câte floarea-soarelui au existat în cea de-a treia versiune a lui Van Gogh din tabloul „Floarea-soarelui”?",12,5,17,A
"In ce an a aparut caracterul Batman?",1941,1939,1945,B
"Unde se afla Podul portului Sydney?",UK,SUA,Australia,C
"In ce an a fost fondata prima universitate?",1088,977,1123,A
"Care este identitatea secreta a lui Batman?","Bruce Wayne","Arthur Curry","Red Robin",A
"Games of Thrones: Cum a murit copilul lui Cersi, Myrcella?","sufocat in somn","in razboi",otravit,C
"Ce culoare au ochii lui Captain America?",albastri,verzi,negri,A
"Ce artist a pictat „Iazul cu lac de apă” în 1899?",Rembrandt,Monet,Picasso,B
"Cum il cheama pe Captain America in viata reala?","Peter Parker","Thor Odinson","Steven Rogers",C
"In ce tara se afla  Colosseum?",Spania,Grecia,Italia,C
"Ce culoare are parul lui Captain America?",negru,blond,alb,B
"In ce an s-a născut William Shakespeare?",1564,1643,1489,A
"Unde au fost produse primele animații computerizate?","Laboratorul Walt Disney ","Laboratorul Rutherford Appleton","Laboratorul Karl Jacob",B
"In ce an a aparut caracterul Captain America?",1945,1948,1950,C
"Dacă ați putea procesa un miliard de atomi pe secundă, cât de mult timp ar fi nevoie pentru a teleporta o ființă umană tipică?","200 mld ani","150 mld ani","500 mld ani",A
"Care este cel mai lung fluviu din Europa?",Dunarea,Volga,Nilul,B
"Ce culoare au ochii lui Spriderman ?",negri,albastri,caprui,C
"In ce tara se afla Taj Mahal?",India,China,Iran,A
"In ce an Martin Luther lansează Reforma?",1517,1523,1498,A
"Ce culoare are parul lui Spriderman ?",negru,blond,saten,C
"Care cântăreț era cunoscut printre altele sub numele de „Regele popului” și „The Gloved One”?","Elvis Presley","Michael Jackson","Billy Joe",B
"În ce an Beatles a plecat prima dată în SUA?",1959,1964,1989,B
"In ce an a aparut caracterul Spriderman ?",1959,1961,1962,C
"Care este temperatura medie a suprafeței pe Venus?","460 ° C","60 ° C","20000 ° C",A
"Care este identitatea secreta a lui Spiderman?","Peter Parker","James Howlett","Bruce Wayne",A
"In ce an a avut loc Sfârșitul Primului Război Mondial?",1916,1923,1918,C
"Ce culoare au ochii lui Superman?",albastri,verzi,negri,A
"Unde se afla Monumentul Azadi?",Irak,Iran,Iordania,B
"Ce culoare are parul lui Superman?",negru,albastru,saten,A
"In ce tara se afla Juche Tower?",China,Japonia,Coreea,B
"Unde în lume este expusă Mona Lisa a lui Leonardo da Vinci?",Londra,Berlin,Paris,C
"In ce an a aparut caracterul Superman?",1985,1984,1986,C
"Ce vedetă pop americană a avut succes în topul din 2015 cu single-urile „Sorry” și „Love Yourself”?",Beyonce,"Justin Bieber","Bruno Mars",B
"Ce club a câștigat finala Cupei FA din 1986?","Liverpool ",Manchester,"FC Barcelona",A
"Care este identitatea secreta a lui Superman?","Clark Kent","Red Robin","Thor Odinson",A
"Câte continente există pe Pământ?",7,6,5,A
"Ce culoare au ochii lui Thor?",verzi,albastri,negri,B
"Games of Thrones: Daenerys are 3 dragoni. Care dintre urmatoarele nume nu este al unuia dintre ei?",Viserion,Rhaegal,Draco,C
"In ce an a avut loc Sfârșitul celui de-al doilea război mondial?",1942,1945,1948,B
"Ce culoare are parul lui  Thor?",blond,negru,alb,C
"In ce an a fost inființată China comunistă?",1949,1951,1956,A
"Unde se afla Statuia Libertăţii?",Canada,UK,SUA,C
"In ce an a aparut caracterul Thor?",1940,1941,1948,B
"In ce tara se afla  Piramida Giza și Sfinxul Mare?",Egipt,Iordania,"Arabia Saudita",A
"Care este numele complet a lui Thor?","Thor Parker","Thor Jacob","Thor Odinson",C
